UUID,10a_OpenEnd,10a_A,10a_B,10a_B1,10a_B2,10a_B3,10a_B4,10a_B5,10a_B6,10a_B7,10a_B8,10a_C,10a_D,10a_E,10a_F,10a_G
5faf1a22-061d-4aa3-b864-8ea7ca9efeb1,Aid should be given in such a way that it should be used by the people in the form of a salary. ,,1,,,,,1,,,,,,,,
629f6afb-e99b-4e08-8a1e-72b542a91cb0,It increases to a veil in society and becomes a prostitute with Jesus ,,,,,,,,,,,,,,,1
62af6096-a103-43dc-a03f-662ab1192d68,Immunity is better ensured by the implementation of Sharia law. Human rights are the instrument of capitalism to suppress their opponents. Human rights claimants themselves are violators. ,,,,,,,,,,,,1,,1,
6321d465-c0e1-41e5-a036-45bbe370ceb3,Human rights are a Western ideology and a Christian who does not work for the benefit of Muslims in any way. Americans themselves violate human rights. Killing millions of people. Islam has given women the best rights. ,,,,,,,,,,,,1,,1,
6373c13d-c656-421d-82b2-d970ae07dea4,The most important is the education of women ,,1,1,,,,,,,,1,,,,
63b8cfe2-e7fd-4369-913e-066941652d3c,The teacher is a doctor ,,,,,,,,,,,,,,,1
63ffd8b5-bfdb-4a21-a6ee-61757ba82104,Educatin Humanity Works ,,1,1,,,,1,,,1,,,,,
655a0584-4cd5-4c36-bf9b-32c12582d196,Afghan women must achieve their rights ,,,,,,,,,,,1,,,,
66325bc7-4631-4009-9330-e8eba5b2fa34,"In Afghanistan, Zalmai Talebzad Mashhad is not happy about human rights in Afghanistan. Who is supporting women? ",,,,,,,,,,,,,,,1
667da804-d4ab-4ac9-af7f-d8565595f5ec,I am not happy about human rights ,,,,,,,,,,,,,1,,1
66a9c7b0-9a38-49fe-ae36-0ba1ef3dcd39,Bread Bread and bread ,,1,,,1,,,,,,,,,,
66c29cef-fe2c-4fca-83c7-d5695251321d,Study respect for law ,,1,1,,,,,,,1,,,,,
66f4eb37-d77b-459d-b5da-6653e29b7137,Security education work role ,,1,1,,,1,1,,,,,,,,
6983ede5-53cc-41fd-b981-d0e7feba2bc0,"It must be freedom, whether it is a woman or a man. We, the government, want to go anywhere freely ",1,1,,1,,,,,,,,,,,
6ac260a5-6705-4435-851a-c24ab2048291,Hijab is the right of the husband ,,1,,,,,,1,,,,1,1,,
6c26da7d-f69b-49ce-af76-7c232bf7fe4f,do not want to say anything about human rights because this is a project sorted by the West and their like-minded people. The best human rights and women's rights in the Islamic system. Be. ,,,,,,,,,,,,1,,1,
6d38cb08-14cd-4b68-be94-e5fc7bddc5da,Hijab must be observed. It is not necessary to leave the house unnecessarily. It must be protected from foreign colonialism. There are no human rights. The international community is crying out in vain. You are shouting for human rights ,,1,,,,,,1,,,,1,1,1,
6db4adf0-d04f-478f-99d7-b0af2fcbe0a5,The Holy Religion of Islam ,,1,,,,,,1,,,,1,,,
6f0b0a41-05b6-4061-b274-01c4c9990b32,The right to education The right to choose a spouse The right to work ,,1,1,,,,1,,,1,,,,,
6f57af15-dcef-4b66-a17c-93290fed2a33,"Priority should be given to all Afghans, men and women, transparent government, inclusive government ",1,1,,1,,,,,,,,,,,
70305e8d-aed5-4182-9a86-fb4fc622e6ac,1 stay at home 2 medical departments should say 3 women's lessons but no harm,,1,1,,,,,,,1,,,1,,
7040b5b9-1467-4f41-bc87-ce5c600060f4,"Give women the right to education, the right to work and the right to participate ",,1,1,1,,,1,,,,1,,,,
71a4954c-a744-4045-ab54-b6bc549a6d31,"Security, economy, no corruption ",,1,,1,,1,1,,,,,,,,
724efb11-282e-480d-973a-b863d2975b16,Observe the hijab ,,1,,,,,,1,,,,1,1,,
7366ca59-9247-4096-9fbf-dea9fa22c61f,The right to education The right to employment The right to freedom ,,1,1,1,,,1,,,,,,,,
7379b313-11d0-4e72-868e-b265fa2a560a,Study free life ,,1,1,1,,,,,,,,,,,
7385e609-ef97-4d3b-b8ba-cbb52a437486,The veil of obedience to the religious husband ,,,,,,,,,,,,1,1,,
73d0f608-a5f7-4f08-9c1f-fa04b90b54d5,Creating the first safe environment for women out of the current crisis Interaction with the world ,,1,,,,1,,,,,1,,,,
73f75ab4-4f08-4514-a41b-557fdfc511b8,1 Education 2 Women's participation in government 3 Islamic system,,1,1,1,,,,1,,,1,1,,,
754db41f-35dc-46f6-8f70-84756c360112,Umati is definitely becoming more and more medical ,,,,,,,,,,,,,,,1
75932caa-b266-4a1d-b65f-158ca30aba08,"Islam has provided the most welfare, peace and rights for women ",,,,,,,,,,,1,1,,,
7771aebd-c30b-4b9c-856b-0e87f477b312,Facebook ,,,,,,,,,,,,,,,1
77f049bc-82b4-4e54-bc5e-ffb24f59ec21,"Freedom is important for women because women are half of the body of society and women are the first school for human beings. If a woman's face is empty, the whole society is empty. ",,,,,,,,,,,1,,,,
782b5e5c-0204-438f-84f7-079575a9d55f,Education only ,,1,1,,,,,,,,,,,,
788934ee-86a6-4810-b69d-8ff6e6fe4842,Teaching lessons ,,1,1,,,,,,,,,,,,
79a0d1cb-2c95-47bc-aaf3-d0732abf965e,"In the Name of God, the Most Gracious, the Most Merciful. You look at the path. thank you ",,,,,,,,,,,,1,,,
79b67ae7-a7a9-4383-b393-6d7954eacd13,I want the government to be like this but women should be left out of the house ,,,,,,,,,,,1,,,,1
7d1683d6-9318-4797-bfe1-accddebe0fb8,Women are good people ,,,,,,,,,,,,,,,1
7d3cf82a-495d-4b84-a90b-06666fde8531,"Education, freedom, the right to work ",,1,1,1,,,1,,,,,,,,
7dcac1d4-9f78-49b2-8420-3c2c879e1b71,The United States and all the devils should not interfere in Afghanistan's internal affairs ,,,,,,,,,,,,,,1,
7def15b8-afe2-4776-8d0e-2cd3c9a9bd56,"1. Islam 2. Islamic country 3. Muslim ruler because Islam enacted inclusive laws for women 1400 years ago and made women the ornament and queen of the house but yes I appreciate women's education because we want female doctors, teachers and officers. We need Obs.",,1,1,,,,,1,,,1,1,,,
7e0a569e-e9b7-4968-ba01-41b1dcd17c57,Islam has good rules for women ,,,,,,,,,,,,1,,,
7fa6b157-e465-4a44-aa0f-ce124ac0be5f,Afghan women go to extremes ,,,,,,,,,,,,,,,1
8091c92f-bb2b-4c91-a34c-affe1d247db6,"First of all, the current system is to end bribery. The second is to dress our women in Islamic and Afghan culture. The third international community is the United States and other United States to prevent the rape of women. ",,1,,,,,,1,,1,,1,1,,
80d91592-b136-4324-a01a-fcef3b769b04,"Religious rights are paramount, and no one else can claim them, no matter how much they may not be able to do so. ",,1,,,,,,1,,,,1,,,
80edc52b-7ddf-4e54-b02c-c4e8955b23c1,Hijab Izzat Muharram ,,,,,,,,,,,,1,1,,
815905d8-e045-4858-a040-a14e194189fe,"For 20 years, democracy has used only women's rights as a tool and has given no rights to women at all. What has it achieved other than mocking women and breaking up families?",,,,,,,,,,,1,,,1,1
8185b7ed-26f5-48af-9d01-4af72cfddbef,Hijab and sitting at home ,,1,,,,,,1,,,,1,1,,
822b4f06-cd1c-489b-a722-442cf5935d2c,Food Security Transportation ,,1,,,1,1,,,,1,,,,,
82bdc5c4-9030-42a4-b5cc-638b1d346193,The veil of Zakat is the Islamic and humane requirement of chastity. ,,,,,,,,,,,,1,,,
83c49a9e-21ab-4f9d-b20a-6c6f0ef20fa8,"The right to work, the right to leave home and the right to freedom ",,1,,1,,,1,,,,1,,,,
83d4b478-a7bd-445e-8314-746960483f35,Opening school gates for girls; Human rights and freedom of expression ,,1,1,1,,,,,,,1,,,,
841813a9-1fa1-4573-933a-6af1a1990669,Because women make up society ,,,,,,,,,,,,,,,1
84866016-8454-4559-bdb4-714e89a2e4a2,Women must be free ,,,,,,,,,,,1,,,,
84b4a3c2-2afe-49c6-add9-fe1d0d9c507a,Liberation work school ,,1,1,1,,,1,,,,,,,,
85656cb2-97ae-4e16-8017-b1348eaa854c,Women's Freedom The right of women to participate in government ,,1,,1,,,,,,,1,,,,
86ae16a8-d996-4194-9f7e-860eb27077fe,It is enough for a man to state the weight of the great Qur'an ,,,,,,,,,,,,1,,,
86f8ddae-309d-4c22-85e2-8fdfe589da65,Islamic education ,,1,1,,,,,1,,,,1,,,
873ef9a6-6726-40bc-92e5-4f858f96046c,Women in human rights are nothing but the prevalence of prostitution and in Afghanistan there is no other woman in human rights except prostitutes and thieves. ,,,,,,,,,,,,1,1,,
88070ad5-042a-4c15-9727-25727d93ff90,Study ,,1,1,,,,,,,,,,,,
88303658-dd5e-47a0-81d1-cb7d14a25473,"Women should wear hijab, not consult with men too much, and not talk too much with men ",,,,,,,,,,,,1,1,,
8854af9e-c0c3-49e4-9d31-8af041c5909c,"First of all, protect the honor of Shizi. ",,,,,,,,,,,1,,,,
8880c072-08d8-469f-86aa-5bce15c19b6d,Duties of men. Electricity generation. Water control and construction of canals and dams. ,,1,,,1,,1,,,1,,,,,
889ea2ae-c47d-42c4-a827-07a7c9398244,"The first is that human rights are not for defending human rights at all, they exist only in name, only for misleading the people. Judges illegitimately ",,,,,,,,,,,,,,1,1
8a07246c-1034-46d3-90de-37fed951a175,"Work, education and rehabilitation ",,1,1,,,,1,,,1,,,,,
8bfa64f0-1c3e-414e-8eee-8ea119da47e4,Education freelance work ,,1,1,,,,1,,,,,,,,
8cf9dfd1-4ba5-4d51-abaa-45d73ac54494,"Government formation, economy building and education development ",,1,1,1,,,1,,,,,,,,
8e4ae77c-a233-4c5c-a093-907726b0dbf8,"The right of women has been lost for a century, but it has come out right. You can not do it. Barsh says you no longer have the right to choose whether life is over ",,,,,,,,,,,,,,,1
8e590c30-acd9-4b5b-9ee8-d77723159cca,The right to education is an Islamic right ,,1,1,,,,,,,,,1,,,
8e812f52-1a11-4ae1-9eb1-f4f808462ce6,myself am strongly against the human rights of women because human beings cannot give women the rights that the Lord of the Worlds has given them. ,,,,,,,,,,,,1,1,,
8eeb1c86-8d3b-47b0-a921-02fd56868501,"Islamic hijab is a shield for Afghan women that protects them from rape, insult and humiliation. In Islam, most of the rights of the international community and human rights are upheld in foreign countries. But in Afghanistan, women's rights are never violated and have not been safe and secure from rape. ",,1,,,,,,1,,,,1,1,1,
8f8a815a-6694-48da-9dbe-bb9ad1f29e09,Women's rights are not the main problem of my country. ,,1,,,,,,,,,,,,,
90304930-41c4-44f6-b2f9-e10918ededb7,Duty ,,,,,,,,,,,,,,,1
909f6ad3-4965-4598-adaf-d69e604092f4,The Islamic system of Sharia law includes women's rights ,,,,,,,,,,,1,1,,,
92f22919-e26c-4c29-870a-3638c3fcb6aa,Education ,,1,1,,,,,,,,,,,,
93af01d0-f6f8-418d-8267-31bc11207efe,"In other parts of Afghanistan, the liver is enough and women are teaching again ",,,,,,,,,,,,,,,1
93db966a-c072-442d-b545-879b32736593,"We have the rights of women and we respect them, but within the framework of Sharia and Islamic Sharia, we have the rights of women and we will abide by them. ",,,,,,,,,,,1,1,,,
948b0f76-faa5-43f9-bd61-c6febe5a3e76,Teaching ,,1,1,,,,,,,,,,,,
94a408e7-b219-4585-8db2-09b214bd8183,"Women have the right to education, freedom, etc. The Islamic Emirate fully respects their rights ",,,,,,,,,,,1,1,,,
951cc5f9-3971-4d9e-91b5-47ceef8bc6eb,"First, enforcing the law of the Holy Quran translates to complete humanity for women. Second, women should walk in the right hijab. ",,1,,,,,,1,,,1,1,1,,
95402de3-12f3-4576-8e54-a4e62881cc73,Tell England to take us from here ,,,,,,,,,,,,,,,1
9663260b-869c-46e6-8eac-368831ce9298,There are other priorities that need to be addressed ,,1,,,,,,,,,,,,,
988cf012-b94b-48f1-a02f-320cc6ce6692,Women should be given all the rights that Islam has given them ,,,,,,,,,,,1,1,,,
99e0797c-5fc6-4976-9a92-5498169cfad3,1- Religiosity 2- Right to education 3- Right to work,,1,1,,,,1,1,,,,,,,
