UUID,7_OpenEnd,7_A,7_B,7_B1,7_B2,7_B3,7_B4,7_B5,7_B6,7_B7,7_C,7_C1,7_C2,7_C3,7_D,7_E
046bc860-86e6-4f98-a92a-1d8210881c09,Education was for men and women. Jobs were created for the people. All tribes were given a share in the government. ,,1,,,,1,,1,1,,,,,,
0470b431-7ee0-44c3-9780-084e3e38d40c,The Taliban are the nation's mourners and the nation's language ,,,,,,,,,,,,,,,1
05036add-d0df-4a9d-97ad-46a2666a0dc4,Security ,,1,,1,,,,,,,,,,,
0519bb08-f6d6-4bdf-8c01-a4d5a1a33942,Security ,,1,,1,,,,,,,,,,,
051f5b9b-6086-4b5d-a44e-173bf9896a4e,Change the government ,,,,,,,,,,1,,,1,,
0549164f-a4f1-477f-955f-2d9ab895c150,Transferring security rights and creating jobs for the people ,,1,,1,,1,,,,,,,,,
0572b546-5f66-4d7f-9d15-fa7e00d8d346,Respect equal rights for all ethnic groups living in Afghanistan ,,1,,,,,,1,,,,,,,
05862038-17f7-4c0f-a468-395cb67b1aa1,Open girls' schools ,,,,,,,,,,1,1,1,,,
05951892-1ed1-4407-a48c-e05865204bc1,Corruption and law enforcement above all ,,1,,1,1,,,,,,,,,,
05af8ce0-f46b-4454-9c1a-519e93ca7d17,Islam and security is the religion of Allah (swt) ,,1,,1,,,1,,,,,,,,
060bd8c1-5c64-43c1-b985-75c8123f47c8,Security ,,1,,1,,,,,,,,,,,
0630d667-f5fe-4503-8aba-764e9faf571d,Schools need to change and security needs to be strengthened ,,,,,,,,,,1,1,,1,,
068b08d9-8ad6-4220-bc32-189c23fdb810,Prevent the influence of external culture ,,1,,,,,,,1,,,,,1,
0705b8e4-f976-493d-b583-680f4e586601,Just be smart and do everything right ,,,,,,,,,,,,,,,1
071cc4c4-3445-4f3f-a9c4-b8b24adbddf1,The job well done is to form a coalition government ,,,,,,,,,,1,,,1,,
0736bbdd-d1f7-446e-a932-dba91ae4b23f,The religion of Islam and divine commandments strengthened with the advent of the Taliban ,,1,,,,,1,1,,,,,,,
073dcb73-d877-4b22-bfe4-5d3d71635299,The work must be handed over to the workers ,,,,,,,,,,1,,,1,,
0749730e-23bc-4014-9634-67ed35557bd8,"The only good thing about the Taliban is that they do not discriminate between people and enforce the law on everyone. And if I want to change anything, it is for freedom of expression to return and for those who have lost their jobs to return to their previous jobs. ",,1,,,,,,1,1,1,,,1,,
0786032f-b28c-4152-be09-a781b073fbf0,"One thing I am very happy about is security and I can be sure of it. Secondly, I want the Taliban to make changes in education. ",,1,,1,,,,,,1,1,,,,
07cc86c6-bbeb-4a7b-9f70-ff258a5ee90f,Protection of the Islamic system ,,1,,1,,,1,1,,,,,,,
0854624c-6e8a-4a8f-9190-4f735b57e30f,Women's rights need to change ,,,,,,,,,,1,1,1,,,
08577842-a481-412b-ade5-d2c458edfbfd,Create the right security ,,1,,1,,,,,,,,,,,
0894da1f-de5f-412a-b010-5823c7f69880,Rights ,,1,,,,,,1,,,,,,,
08970536-5e92-46e2-8fdd-9b195fa6e426,"Getting security, opening the doors of schools and universities for all men and women ",,1,,1,,,,,1,,,,,,
08c27ba7-3654-4690-a045-65c9bfb8e4de,nothing ,1,,,,,,,,,,,,,,
08fdff40-97d2-4aec-9512-eee2795d75c2,"It only works in the direction of greenery, that is, a good municipality, and what needs to change is that they should allow schools up to the twelfth grade as soon as possible. ",,1,,,,,,1,1,1,1,,,,
0932df90-ee73-4d80-ac9e-007a687c75ef,"The Taliban are doing very well in bringing security and curbing corruption. What the Taliban need to change is not to enter people's private sanctuaries, such as having a beard, wearing a hat, and distributing regular uniforms to the police in Kabul. ",,1,,1,1,,,,,1,,,1,,
094124c5-759d-402c-be8f-ca5457f29995,Wearing hijab ,,1,,,,,1,,,,,,,,
09801512-7744-4471-827c-273bffe3984f,Create a joint government ,,,,,,,,,,1,,,1,,
09eb7f9a-9dae-4b1e-a9cd-cf7cbbb36b7f,The Taliban must go to the right ,,,,,,,,,,1,,,1,,1
0aa514d0-2c0a-4fca-bb32-9f64a813a442,Security ,,1,,1,,,,,,,,,,,
0aa7e152-9121-4ea4-947a-c5adaadaba33,"The Taliban prohibit and control government activities such as betting, stealing, drinking and non-Islamic activities ",,1,,,1,,1,1,,,,,,,
0ab020ae-ba35-41c3-9df3-b39e064faa6b,"۔ It has a very good ability to bring peace. Law enforcement, like a strong government, can successfully enforce it on the people, a feature that was weak in previous governments. ۔ Makes standard agreements with the international community in which Afghanistan's independence is established. ۔ Government institutions, especially the exchequer, are more secure than previous governments. ۔ The world's politics are more balanced than those of previous governments and many other actions that are truly commendable. ",,1,,1,,,,1,,,,,,1,
0b784e58-7e4c-46f9-9edc-70899bea952c,We just want an inclusive government ,,,,,,,,,,1,,,1,,
0bb27481-d5da-4666-bda6-64481006b270,Islam ,,1,,,,,1,,,,,,,,
0bcbf74a-cf08-40df-a41b-a0171f0de97c,Get rid of corruption ,,1,,,1,,,,,,,,,,
0bd44024-748b-4238-b965-2847f936ddd6,"Security, eradicate corruption ",,1,,1,1,,,,,,,,,,
0c15300e-3d4b-4058-bfc7-a22c79cc62fb,The missing Taliban can easily make a living from the poor Afghan people ,,,,,,,,,,,,,,,1
0c506e7e-deec-474f-b60a-8ab9d22439e1,Searching improves and pulls boys out of the economic situation if it changes ,,,,,,,,,,1,,,1,,1
0c50c58b-f6ed-4317-a208-5e21849c7054,Security and education ,,1,,1,,,,,1,,,,,,
0c527987-147f-4064-984d-b78a8490c70c,Bread ,,,,,,,,,,,,,,,1
0c560d4e-5d25-46ef-8703-36ab164ca50f,Agreed security has brought security to everyone's property and dignity and I want to increase the level of education ie allow education whether it is male or female. ,,1,,1,,,,,,1,1,1,,,
0c592566-6943-4ea5-80f1-dcfce9e314a5,Rule of Sharia law ,,1,,,,,1,1,,,,,,,
0c8bd08d-52a8-44d9-9fcb-967fe0419553,"Peace, prosperity and the Islamic system ",,1,,1,,1,1,1,,,,,,,
0cbcb19c-89b2-4703-b348-5c8f081ef10c,Security and the Prevention of Corruption Individual Freedom ,,1,,1,1,,,1,,,,,,,
0cd1dd8c-6587-4bf2-86e4-8ebb1be0043e,Hijab ,,1,,,,,1,,,,,,,,
0cde9e22-a083-430f-97d6-76a5d7ad2844,"Among the things that the Taliban do well: security, equality, urban development and cleanliness of cities, tax collection, and ..... ",,1,,1,,1,,1,1,,,,,,
0ce4d553-ab3c-487a-af10-5d899b1ff5ac,Punishing criminals and tyrants by praying 5 times in each ministry which was very weak in most of the government 2 Taliban should allow female students,,1,,1,,,1,1,,1,1,1,,,
0d1dec3a-3f4d-49ed-bc6f-d77b10176081,Amin does well. And what they do change is a few things ,,1,,,,,,,,,,,,,
0d2fdc8b-006c-4fd0-9c15-86b8dbab7c82,What has happened with the advent of the Taliban is an end to corruption. There is no corruption and security is 100 percent guaranteed. Sometimes something happens in the safest countries of the world. Now it is time for girls' schools to open as soon as possible,,1,,1,1,,,,,1,1,1,,,
0d80914f-1e5e-4a26-96d5-0c55426f1635,Security ,,1,,1,,,,,,,,,,,
0d924a58-233b-40c7-a93a-6f7c2c0014df,Security ,,1,,1,,,,,,,,,,,
0da4298f-c6e7-4fd0-967c-fe868174cfe6,Destroying the homeland works well and no other wisdom can ,,,,,,,,,,,,,,,1
0dd4b2d2-5ad4-4f48-aa1d-638dec53da11,None ,1,,,,,,,,,,,,,,
0dff4f67-af42-4be1-adae-3a12b40cfdc0,Security is good ,,1,,1,,,,,,,,,,,
0e0a5bf3-3ede-4bac-9ed8-e7a7b9896f70,Just release the calls and transfer the money to Ashraf Ghani's contract ,,,,,,,,,,1,,,1,1,
0e4aa1ec-7d7c-41e7-abbf-b7a38782f1d9,Study ,,,,,,,,,,,,,,,1
0e64e802-459e-4a8e-96e9-cca61f76463d,girls school.but not co ejocation ,,,,,,,,,,1,1,1,,,
0eb1b1bf-352b-4ad3-aa6f-095b42eb219c,Security ,,1,,1,,,,,,,,,,,
0eee761d-f727-4256-8d4a-18d7bd632896,"In my opinion, preventing corruption and administering justice should change its position and coordinate the army. ",,,,,,,,,,1,,,1,,
0f0add0e-e27e-4198-b9a5-e790c8288a02,"The Islamic system, that is, the pre-Islamic law and the promulgation of the Shari'a, the protection of the people's property, the protection of the people's property, and so on and so forth. ",,1,,1,1,,1,,,,,,,,
0f445eef-7315-47dd-b02f-76e4414c7f6b,Justice is a government that includes all the academic cadres of the country ,,,,,,,,,,,,,,,1
0f4d2455-343a-4f7a-a930-14ccd9f44bdf,Find people to work with ,,,,,,,,,,,,,,,1
0f879140-0b20-47e7-bc9d-260428497e8a,"The Islamic Emirate of Afghanistan is to educate its soldiers so that they can know the good and the bad and to carry out its policy with its neighbors with special authority. On the other side of the border (on Afghan soil), Jor Kari is a vizier and takes a hard line and prevents water from reaching neighboring countries. ",,,,,,,,,,1,,,1,1,1
0f8f8790-6df6-45c6-b8b6-64e8c4080d7d,Improved security oysters ,,1,,1,,,,,,,,,,,
0f9eeac5-03fb-46af-9913-d64f933d81dc,Pay attention to national unity ,,,,,,,,,,1,,,1,,
0fcef0ca-8317-48de-8974-9c82a2807bc4,The state of the economy and international understanding ,,1,,,,1,,,1,,,,,1,
0feb3c5e-6d9a-4042-ba11-3753393d3a30,Anti-corruption works well to change Taliban uniforms ,,1,,,1,,,,,,,,,,
0ff3b835-dc78-471e-b076-4af526a4069e,Shariat ,,1,,,,,1,,,,,,,,
103f8c76-998c-43bd-ae8f-eee218f999a8,I want the girls' school to be opened. The Taliban are no longer bad. ,,1,,,,,,,,1,1,1,,,
10618ff0-c7c6-403d-a8b3-6fadf43a6afb,The thieves have collected lots less ,,1,,,1,,,,,,,,,,
10798dea-365c-4eb5-b0c0-9a749665adf4,Security ,,1,,1,,,,,,,,,,,
10b80a1e-480d-41d5-982c-6e38715d7cb5,Behavior ,,,,,,,,,,,,,,,1
10c267ee-6aba-4e01-a562-26bc35972af8,The law must be fully implemented ,,,,,,,,,,1,,,1,,
10c865d2-e30c-40c3-98e9-fd34d6ad289c,The Taliban are a very good people ,,1,,,,,,,1,,,,,,
10decbaa-c922-457a-ae19-911ff7b8e851,"The Taliban have so far done nothing but restrict the people, discriminate against ethnocentrism, and restrict the activities of women in all walks of life, which for many of these Taliban women are only means and sex, not human beings. It is not only me but the will of all the people to change, of course, except for a few Taliban, but change at the moment, when I do not think the Taliban regime will fall, is almost impossible without the intervention of a large foreign country, but if the restrictions on the people are reduced Women should be respected, the government should be inclusive, it will be great, then Afghanistan will be a place to live, but for now it is nothing more than hell for the poor people of Afghanistan. ",1,,,,,,,,,1,,1,1,,
10e44bdb-da4d-49a1-b280-1ce25ab5ee2a,"The Taliban eliminate bribery and corruption, eradicate criminals, and reduce crime, and security is better now. ",,1,,1,1,,,1,,,,,,,
10f03a79-a1ad-48e2-b6e9-b8eb66d1f6b1,We have good security at the moment ,,1,,1,,,,,,,,,,,
115cefca-1e26-432b-acb1-1a3b3e7aa0a4,"The Taliban have really wiped out the power, the moral and administrative corruption in the administrations has decreased far more than in the past, the cases handled by the Taliban are excellent. What needs to change? The Taliban must identify the community's priorities, launch large-scale confidence-building programs across the country, launch large-scale mining and agriculture projects with the support of regional countries to create jobs, and reduce internal tensions. At least, and at the same time, the activities of the Ministry of Affairs should be launched very carefully and wisely. Women must achieve their Islamic and human rights ",,1,,,1,,,,,1,,1,1,,
1183577c-780c-482e-be30-41f2c7e2ce31,"Security has been restored, women have been barred from the market, bribery has been stopped, bribes have been stopped. ",,1,,1,1,,,,1,,,,,,
11bbfeba-0593-4039-b23b-7d9a8e57fc87,What the Taliban have changed is security in the first place ,,1,,1,,,,,,,,,,,
11beeae2-ebda-4c9a-a4e4-042acd8db244,The teaching of Sharia and the teaching of Mojtah were equal ,,,,,,,,,,,,,,,1
121174f5-52e3-48ca-aeab-3f41ef2f948e,None ,1,,,,,,,,,,,,,,
1258e755-88f9-42fc-807c-4a59d110621e,I want an inclusive state ,,,,,,,,,,1,,,1,,
12ebd5ef-b3b2-47e4-a53c-4feedc910010,Everything is going well ,,1,1,,,,,,,,,,,,
13209c02-1a22-406d-a09f-54e4db6deba2,The Taliban have done a good job of eliminating the universities and the school has to do the same. ,,1,,,,,,,1,1,1,,,,1
1326b2d4-71ea-4990-bbae-95ec5c32982d,Luffy and stubbornness decreased ,,1,,,,,,,1,,,,,,
13820a8b-db6d-4efd-ada1-a3be2ec009dc,"Unlike the previous government, the Taliban adhered to their duties, and bribery and corruption in the government have been greatly reduced, and I think the Taliban's will to control the country is very commendable. But she has a very dark view of women and women's rights, which in some cases even calls into question religion, and this is very worrying. ",,1,,1,1,,,1,,1,,1,,,
13b00352-610b-4446-85e1-8960b8e15c3e,Do not change anything ,,1,1,,,,,,,,,,,,
13b65c9d-3176-4339-937c-6e0de25cd1cc,Good manners ,,1,,,,,,,1,,,,,,
13fe7f63-ea1b-4d1e-9cdb-c14f0ad6d588,"Until now, the best option was to create security for all sections of society, which is to provide complete security for all the people from the north to the south and from the east to the west of Afghanistan. We accept this worse. ",,,,,,,,,,,,,,,1
14123a07-058c-4fae-9446-0fd3a7530fb0,"Good government, why can't the people be satisfied? It has brought security and the Taliban should open the door. ",,1,,1,,,,1,,,,,,,
14ee079e-f7e3-4aba-bcf6-6a7a0d211456,All work ,,1,1,,,1,,,,,,,,,
14f4557d-a282-4890-8554-792a5130a105,"The Taliban should facilitate the education of girls and boys, provided that they are educated separately, Islamic and Afghan values are preserved and they are trained in the Islamic faith. We are not worried about this. ",,,,,,,,,,1,1,1,1,,
14f92f1c-fbc7-4b66-8f68-a71cb30de1a9,Only create an independent government ,,,,,,,,,,1,,,1,,
15b8711b-8fc0-4341-b530-afd1ff19074b,The war has not stopped and there is chaos in the country ,1,,,,,,,,,,,,,,
15d0103f-972d-476e-ad9c-b04cbbc04265,Justice ,,1,,,,,,1,,,,,,,
15d3dd8b-e254-40ee-b5df-58cb62066a26,He must practice Islam ,,1,,,,,1,,,,,,,,
15dcd6bb-25d7-4523-a494-0ffc086b125e,Education must lead ,,,,,,,,,,1,1,,,,
160af525-98f5-4456-a281-79d8ee27801a,The drug trade is very good and the people are very safe. ,,1,,1,,,,,,,,,,,1
16833fe1-7f7f-46ab-b973-0fbb46ea3b07,Complete Sharia ,,1,,,,,1,,,,,,,,
1696f68e-9dbf-4815-89fb-fe3062665604,Work ,,1,,,,1,,,,,,,,,
16deffa5-13a2-4b5f-bbf5-0404c962636b,Learning ,,1,,,,,,,1,,,,,,
16f7f92f-f1dd-43e8-b502-3fa4d4d33107,"Good oversight is very good in the areas of their laws, 1. They are honest in their words. 2. In civil and legal disputes, they decide very quickly ....",,1,,,,,,1,1,,,,,,
1729f0ab-66f6-4fde-8e15-0858f895a097,It does a good job and benefits the whole nation of Afghanistan ,,1,1,,,,,,,,,,,,
17d24b3f-9c57-43e1-be4a-2e7aba178fed,"In my opinion, he should give jobs to all the people who worked in the previous government, but the chaos will disappear because the Taliban will do the same as the United States did not give any seats to the Taliban. Thank you to all those who are against the government. ",1,,,,,,,,,1,,,1,1,
187f2872-1a92-43b4-811e-73cfc485e7bb,"As Iran settled the Akhunds, so did our country, all other crops were populated and corruption was reduced. ",,1,,,1,,,,1,,,,,,
18967585-2780-4965-8e33-3919da6f5a95,The Taliban should pay attention to everything and the other should pay attention to the lessons learned ,,,,,,,,,,1,,,1,,
19149d34-fcd1-4b8f-81d9-e53a7fe539f0,"Bring security to the forefront, create jobs for the people, gain the support of the people, and create an inclusive government so that the people feel responsible to the government and defend their government. ",,,,,,,,,,1,,,1,,
198084a0-48f0-4a22-88c9-d18804e6aa9d,"Security is good, there is no change ",,1,,1,,,,,,,,,,,
19874054-2ff7-4bef-9d11-694cdcff902a,The Taliban seem less armored to gain control ,,,,,,,,,,,,,,,1
1a1d7f81-8847-4e92-8fdc-aed4bf568119,None ,1,,,,,,,,,,,,,,
1ade4385-41b2-452f-b18b-e9764e0c99c1,Peace Security ,,1,,1,,,,,,,,,,,
1ae664ba-b34d-4cce-b61b-93edd0943c16,Pays a little more attention to our sacred religion ,,1,,,,,1,,,,,,,,
1b23d38e-dfe4-4119-a12f-3a23b2527d40,The girl's school is open enough ,,1,,,,,,,1,,,,,,
1b318b79-e865-4cca-9d97-cb41f6ae93a1,We want to do more to help the poor people of Afghanistan ,,,,,,,,,,1,,,1,,
1b41f814-396e-4404-96a9-16a51405ce83,Women's schools begin ,,1,,,,,,,1,1,1,1,,,
1b66b6c0-5632-4d50-82de-4ddca8f9b2bd,An inclusive government in which all ethnic groups in Afghanistan participate ,,1,,,,,,1,,,,,,,
1b7210b4-9bda-4d2c-8564-547c9a969b82,Security work ,,1,,1,,,,,,,,,,,
1b9c68bf-2e3b-4719-8007-5439ccbc02da,Security is assured but more attention should be paid to the study of ideas and trade ,,1,,1,,,,,,1,1,,1,,
1ba81aa9-0a62-4042-830f-baf9c9812780,"""Security"" ",,1,,1,,,,,,,,,,,
1becd8d7-8772-43c5-afae-6284d6807da0,Bad people should be removed from the ranks and Sharia system should be wise ,,,,,,,,,,1,,,1,,
1c206c0b-007a-4379-87a3-5abc3c87d3e5,Extreme security of coercion has also been reduced ,,1,,1,1,,,,,,,,,,
1c289905-d2a6-4f98-9396-6b98b15e7210,Learning ,,1,,,,,,,1,,,,,,
1c4c106b-65be-4011-8b2b-f87fbee1a2f7,"As it is a job opportunity, people should be treated well and help should be provided to bring security. ",,,,,,,,,,1,,,1,,
1c790b2c-6064-4bda-bb4a-4f7e1b39f51d,Defensive strength ,,1,,1,,,,,,,,,,,
1c7e2868-d6ed-410b-a046-3cd99603f9c0,"Security is good, not food. What can we do about security without food? ",,1,,1,,,,,,1,,,1,,
1c83b99c-0d91-4a94-a535-d6657488c6f8,The quiet security of justice is the secret of everything ,,1,,1,,,,1,,,,,,,
1ced1f2f-282c-4d9f-9f80-67a8757c35ea,The Taliban can only do a good job within me by giving away the lands of the looters and the looters and giving back the looted lands and giving the looters within me. ,1,,,,,,,,,1,,,1,,1
1cee8bff-725c-43fb-b3a1-f8cd3349ddcd,"Women's schools should be more tolerant of everyone in the Islamic framework and circle, especially with thieves. ",,1,,,,,1,,,1,1,1,,,
1d0c2e77-9a33-47c9-a0e2-5b7832219721,The Taliban must go. Afghanistan does not need them ,,,,,,,,,,1,,,1,,
1d4ff33b-89bf-44a8-aca1-348dee31d729,Should pay more attention to the economy; ,,,,,,,,,,1,,,1,,
1d748bb8-798e-40b2-ba2d-5821f3b5c1a9,Discipline is what the Taliban do best and they do it ,,1,,,,,,1,1,,,,,,
1d7dd7e8-3a08-4b79-93fc-2b133075058e,"In terms of security, a little good, and in terms of very good sharia, women are very happy with being veiled and selling the first things that are forbidden. ",,1,,1,,,1,,,,,,,,
1dafbeda-5c4a-421a-b65c-3cbba44f0f34,"The Taliban are improving the security of the people, but there is a lot of mediation among them, making many people jobless and replacing them with miners and scorpions. Even they are illiterate and do not have enough experience. ",1,1,,1,,,,,,1,,,1,,
1df44235-1bb0-4356-ac1f-4d63733f84a3,Sex ,,,,,,,,,,,,,,,1
1e21c393-fca8-4883-872f-e6ff6864cc70,Schools ,,1,,,,,,,1,,,,,,
1e255f4d-fcf1-4056-a4f3-041ac74236e6,Schools open ,,1,,,,,,,1,,,,,,
1edc76cc-96b2-4dd8-a5ed-79d062a5db53,The Taliban themselves are terrorists. Death to all ,1,,,,,,,,,,,,,,
1f92a013-990e-4496-8365-557d0703e490,"Security is more important to us than anything else. The Taliban are the ones who saved Afghanistan from being a victim of Western democracy, but unfortunately the West continues its shameful intervention. ",,1,,1,,,,1,,,,,,1,
20206da6-aa73-473d-a240-f483be0d399d,Good governance. We all agree ,,1,,,,,,1,,,,,,,
2042a09a-e950-435a-8884-5d281ee64eb2,"Peace, Greeting ",,1,,1,,,,,,,,,,,
2043e11b-c42a-452f-b204-f9b76af80a8e,Design ways for the Kurds to improve the quality of Afghanistan's economy ,,,,,,,,,,1,,,1,,
20587085-6356-4afc-807a-5b054d3b0015,The Taleban have provided better security and have largely prevented robberies. We call on the international community to release the Afghan budget and recognize the Taliban government so that more positive changes can take place in our lives. ,,1,,1,,,,1,,1,,,1,1,
208115d4-eb70-48a5-8d3e-9622d93dec33,Protecting our homeland in the way we want to change is the security of our country. ,,1,,1,,,,,1,,,,,,
209de202-ee65-4a59-8a0e-854dbde496d7,It works very well. It is good that the hijab is observed ,,1,1,,,,1,,,,,,,,
21209a0b-f31c-424b-8c63-2a1e1a564669,The government must build inclusiveness ,,,,,,,,,,1,,,1,,
215b4fbc-1fd8-44f9-9768-ebb8945f71ea,Providing relative security and the implementation of the Islamic system and the economic situation and educational conditions for girls and women must change ,,1,,1,,1,1,1,,1,1,1,1,,
215dcea9-e4f7-4bd0-acf2-8a016401084d,Democracy must be done ,,,,,,,,,,1,,,1,,
216f5bdd-bc53-42ab-8369-54d5ff731333,Complete security ,,1,,1,,,,,,,,,,,
21a2b1d9-9893-4746-ae41-7fbe47c3aea8,They all do the right thing ,,1,1,,,,,,,,,,,,
21c3566a-2288-460e-9230-93944fe03ad9,Security ,,1,,1,,,,,,,,,,,
21f8f214-55a2-4146-ad60-51dce48e53a8,We must do good deeds for Afghanistan and build our homeland. ,,,,,,,,,,1,,,1,,
224c278a-7179-47c0-b533-cc1e48ecb797,"The Taliban are the real children of the country and do not work for the goals of any country. To eradicate corruption, etc. This is something that the United States has not been able to do with all its might for the last 20 years. I live in Afghanistan and I am an ordinary person in the country, but the truth must be told. والسلام",,1,,,1,,,,,,,,,1,
2268b4f3-a8a3-42f9-abe5-5d28d8188bc8,Learning ,,1,,,,,,,1,,,,,,
226c5a48-5904-4e93-af44-3f3630e3ebfc,Education and rehabilitation ,,1,,,,,,,1,,,,,,
22dfdbad-cb67-4a88-9bcb-e2e071aef32e,Urban order is the cure for theft ,,,,,,,,,,1,,,1,,1
22e7bb16-ba71-48d1-8239-c474f215043f,Security and Justice آزاد Liberation of Danjo School ,,1,,1,,,,1,,,,,,,
2393326f-3fae-45a1-82d2-b94206293138,The inclusive government must be formed ,,,,,,,,,,1,,,1,,
23961f2b-53a7-455c-81ca-c72414e3da59,Create freedom and make education equal for all ,,,,,,,,,,1,1,1,1,,
23bcf20d-a88f-408e-a402-432950970b92,They provide security ,,1,,1,,,,,,,,,,,
23f39945-ffbb-43ff-a33e-b4ec63f86768,A free and self-sufficient country that does not depend on any country ... ,,1,,,,1,,1,,,,,,1,
2431251f-1bae-4d5d-ac9d-5601b142064b,"Security is a vital issue. Use of natural resources of mines ... Immediate solution of people's problems in the government. If it is recognized and the assistance of the World Bank and other countries begins, the Taliban can use it well in development projects and infrastructure ... because the Taliban do not corrupt and, like the previous government, use it for their own benefit. Does not use. ",,1,,1,1,1,,1,1,1,,,1,1,
24e670ef-3c71-4205-94a7-fefd7727eb67,Being Islamic ,,1,,,,,1,,,,,,,,
251db85f-1e6d-4675-b496-5808bdb4047b,Peace be upon you ,,1,,1,,,,,,,,,,,
252d2f22-298f-4a01-a001-60e19944ba3a,Kar Mahiya Arzan Payayi ,,,,,,,,,,,,,,,1
25bd6fc9-236e-44ae-b482-53b25298050b,"Everything such as the security of the economy, the agro-industry, water control, etc. ",,1,,1,,1,,,1,,,,,,
25d800e7-7ac7-4673-9fa5-b8e2534e9c54,They must build a good government ,,,,,,,,,,1,,,1,,
25dd6652-9d3a-41a8-9c49-de51315b53db,"Peace, Greeting ",,1,,1,,,,,,,,,,,
260aaee7-39e8-4017-b534-105c2dc90f3e,Islamic system ,,1,,,,,1,1,,,,,,,
2613f8a3-901c-4102-b0a8-e5e849cfa126,What the Taliban are doing is a little better. The first security is relatively good but there is no security. The second is that the corruption in the whole country is relatively good but not completely eradicated. And discipline. 2- Hand over to the working class. 3- The law should be applied equally to all citizens. 4- International aid should be distributed to the deserving people. C,,1,,1,1,,,1,,1,,,1,1,
263f486e-66f6-42e5-99e1-a8a3616b5fcf,The Taliban government is a peaceful government ,,1,,1,,,,,,,,,,,
