UUID,10c_OpenEnds,10c_A,10c_A0,10c_A1,10c_A2,10c_A3,10c_A4,10c_A5,10c_A6,10c_A7,10c_A8,10c_A9,10c_B,10c_C,10c_D,10c_E,10c_F,10c_G
03e245b2-3a4e-4ac0-ac54-f72a0f3a3267,A woman should belong to anyone ,,,,,,,,,,,,,,,,,
0427881c-fac2-4c95-8a8d-206281bb8ed3,The Taliban take power from the extremist group Freedom for all people in the country Chi Zan Chi Man The only way for women to take power from the Taliban ,,,,,,,,,,,,,,1,,,1
0446aa73-9649-4903-b53a-250f99dc0347,Human rights will not be possible for women until the Taliban and other terrorist groups are eliminated from Afghanistan. ,,,,,,,,,,,,,,1,,,
04576699-e547-479e-8b8a-b3682feb991d,Women are the main members of the society that we have given them the right to work and education more than men. Women are more kind and can prevent more oppression. ,1,1,1,,,,1,,,,,1,,,,,1
046bc860-86e6-4f98-a92a-1d8210881c09,The best in the light of Sharia ,,,,,,,,,,,,,,,,1,
046bfa61-640a-47af-94d8-776345b1bc26,Equal rights must be enforced and the Taliban eliminated ,1,,,,,,1,,,,,,,1,,,
04da4110-e467-4664-b5e5-6b7fa155b781,Inclusive government ,1,,,,1,,,,,,1,,,,,,1
05119155-05b6-4a22-8cc1-53eaac906b5e,As is the case with men ,1,,,,,,1,,,,,,,,,,
0516ab4f-bb71-47ac-be37-e7a87d8f674c,"Women should be free to continue their work, life and education ",1,1,1,,,,,,,,1,,,,,,
0535d1af-f376-4795-a059-93dbd1a2a6df,"Allowing women to study can brighten the future of our children because you are going from a literate woman to a literate generation. From a literate man, only one is a literate man. ",1,,1,,,,,,,,,1,,,,,
05611b67-093b-4982-ae31-f7a86fec6a23,"In short, nothing is possible without a woman ",,,,,,,,,,,,1,,,,,1
0572b546-5f66-4d7f-9d15-fa7e00d8d346,"God created man and woman have equal rights, but the Taliban do not give women the right to be marginalized. Women should have the same rights to freedom and human dignity as men. ",1,,,,,,1,,,,,,,1,,,
057ce741-fa8c-4123-b5e5-3e7b97c071f2,Forming a government based on democracy ,,,,,,,,,,,,,,,,,1
05862038-17f7-4c0f-a468-395cb67b1aa1,Important ,,,,,,,,,,,,,,,,,1
05af8ce0-f46b-4454-9c1a-519e93ca7d17,"The Taliban know the truth about women, they are not infidels, Allah has made them Muslims, they are always hell, they will be saved from the fire, if they do not become guests, Allah will destroy them. ",,,,,,,,,,,,,,1,,1,1
05e37233-a805-493c-8f38-3c25594ecce3,It will be successful because the Taliban will be overthrown. ,,,,,,,,,,,,,,1,,,
05f263a0-8406-41f5-bf47-0eb8fdb0d14c,"Providing employment is possible only with economic growth. Poverty does not disappear with the absence of employment and economy, and with the existence of poverty, women are more vulnerable than men. If employment opportunities are provided, women can exercise their rights according to their talents. To benefit ",1,1,,,,,,,,1,,,1,,,,
0615bcc2-5b9f-4e51-ae23-5bda284d0123,With the creation of the inclusive government ,,,,,,,,,,,,,,,,,1
0630d667-f5fe-4503-8aba-764e9faf571d,Change in women ,,,,,,,,,,,,,,,,,1
064013ce-dd51-49a7-8dac-de5618634c60,Better ,,,,,,,,,,,,,,,,,1
068b08d9-8ad6-4220-bc32-189c23fdb810,The best Islamic laws will be observed in Afghanistan ,,,,,,,,,,,,,,,,1,
068c1832-8ce7-422b-9530-ed4acc53adf4,I hope this is not controlled by the taliban. ,,,,,,,,,,,,,,,,,1
06a0fe2e-c92c-47d0-858a-8946b4bcfe5f,The freedom of every woman's woman must also enjoy it ,,,,,,,,,,,,,,,,,1
06a9e1cb-7dc5-44ca-9fe9-13d610bdf453,"The work of a country depends on both men and women, but in the previous government, there was a lot of immoral corruption. Now the Taliban, who control corruption, so why do not they allow women to access things, is not a woman a servant of God? ",,,,,,,,,,,,1,,1,,1,1
06bf8ebd-dbfb-4e36-9182-925ab4f4b630,The right to education will be given ,1,,1,,,,,,,,,,,,,,
06cf71ed-e2ab-472b-8449-1e7fda54ec99,"In Afghanistan, the problems of women will be solved and legal insecurity and illiteracy will be eradicated. ",1,,1,,,,,,,,1,1,,,,,1
06d056b8-7ed8-458d-acb6-23e2815bed79,All women should be given the right to education and duties ,1,,1,,,,,,,1,1,,,,,,
06d67a04-c9e8-41a3-adf9-c5cd51907112,"Continue to study the right to choose the right clothes, work and social activities ",1,1,1,1,,,,,,,1,,,,,,
0736bbdd-d1f7-446e-a932-dba91ae4b23f,The rights that God has given to women are the rights of women ,,,,,,,,,,,,,,,,1,
07767c5d-8ca0-47b8-a9e3-923dcc12e43e,Women's rights under Islamic and international law should be granted to them through international Islamic organizations ,,,,,,,,,,,,,,,1,,
07c1b24a-7a4b-4fbb-a6e0-e44346c9efcf,I will give you a gift ,,,,,,,,,,,,,,,,,
07fea23c-27f4-41bd-801c-babbde8d5e1a,Permission to study and work ,1,1,1,,,,,,,,,,,,,,
083edbe6-dd86-454f-b206-3a6fa11fef93,i thing its bad ,,,,,,,,,,,,,,,,,1
0864c1fa-4d11-4b27-8061-40a050915695,"It is not only for women that human rights are enforced, but also for the people. All people are exercising their individual freedom and the people can not eat. ",,,,,,,,,,,,,,,,,1
08970536-5e92-46e2-8fdd-9b195fa6e426,it is not clear yet ,,,,,,,,,,,,,,,,,1
08da488f-aa4e-40eb-8068-3305a0e09518,"Human rights, not only for women, but for all sections of society, are very difficult at the moment. ",,,,,,,,,,,,,,,,,1
08e31231-5ac2-4701-978e-bbb5acab4fcd,"To fully restore women's rights. The first step should be to change the perception of the Taliban and some traditional Afghans of women that they see women as a means or women as the exclusive property of the home. This change of mind can be propagated by the imams of mosques, other conference ceremonies. ",,,,,,,,,,,,,,,,1,1
08ef6ca9-92b2-45a7-8d41-0f76bb5d75bb,Women's rights are currently being violated by the Taliban. I asked you to restore their rights. Thank you. ,,,,,,,,,,,,,,1,1,,
091eb590-87fe-43e0-8c61-b8469f830afd,Women fulfill human rights and deprivation of human rights is a form of disobedience to my Lord. I will be proud of myself that I will fight for women's rights. ,,,,,,,,,,,,,,,,1,1
092f03cd-643b-47dc-9b37-190066aa1548,Bright future ,,,,,,,,,,,,,,,,,1
0932df90-ee73-4d80-ac9e-007a687c75ef,"The Taliban should give women rights, they should be left to schools and jobs. In my opinion, the Taliban should do this. ",1,1,1,,,,,,,,,,,,,,
09334e52-f64e-4454-b90e-5800992ad368,Be completely free and decide their own destiny ,1,,,,,,,,,,1,,,,,,1
09528056-b656-4c23-929c-09b3dc044ad7,Women's rights have been completely ignored. ,,,,,,,,,,,,,,1,,,
096b7f8c-8c04-4628-a54c-69bb126e3f2d,Sharia rights and freedoms ,,,,,,,,,,,,,,,,1,
096d137b-b4c9-409c-ba1f-637cc0b23031,It is very useful for the development of society ,,,,,,,,,,,,1,1,,,,
09801512-7744-4471-827c-273bffe3984f,Problem ,,,,,,,,,,,,,,,,,1
0983a9d3-6621-4564-9805-099bfa54b259,"Women and children should not be tortured, they should be able to study, they should not be forced to work, they should have a colorful presence in society. ",1,1,1,,,,,,,,1,,,,,,
09e8cccd-58e4-4f98-905c-9aeb87a167af,I do not understand ,,,,,,,,,,,,,,,,,1
09f9d819-1813-4f0c-9e96-6a7134587f8a,"Our educated women are in a critical situation today. Now, for all women who have relative freedom, all women are homeless and some of these women are in a bad mental state. ",1,,1,,,1,,,,,1,,,,,,1
0a611448-5fa9-4a03-a99b-ab0755be8821,They should open a school for the girls to provide universal security ,1,,1,,,,,,,,,1,,,,,
0a7034b4-d06a-4b8b-9c3e-9ba1a2b6a7f6,Achieving human rights is very important and good for women ,,,,,,,,,,,,,,,,,1
0a83e4ea-d96c-4059-9fad-126adbff9a84,"The first issue is the education of female students in Rashkoshpar. The second is that freedom is the inalienable right of every human being. Freedom of expression is the right to participate in political, economic, sports and social activities ... ",1,1,1,,1,,,,,1,1,,,,,,
0a9306ab-26ad-4786-ad94-e30abf2e12b0,Rights must be respected and women must be able to work and learn so that we can come together and build a strong government together. ,1,1,1,,1,,,,,,,1,,,,,
0aa7e152-9121-4ea4-947a-c5adaadaba33,Men and women have equal rights ,1,,,,,,1,,,,,,,,,,
0aa98795-4b78-431d-8225-8a629c78158e,The right to go to school ,1,,1,,,,,,,,,,,,,,
0ab020ae-ba35-41c3-9df3-b39e064faa6b,"In Greater Afghanistan, brave Afghan women have a lot of happiness in their lives. Their husbands go abroad to work and then their wives spend well and honestly and live their lives according to their whims, only the opportunity to go abroad for entertainment, bazaar, work And there are some limitations to meet some other needs that I, as a young person, find very common and these are the facts that I am deeply aware of that all the rights of Afghan women are protected only in the area of hijab. There are limitations to this, such as veiling. This section is a bit shaky. Other than that, women's human rights are far better protected and even regulated than the international community. ",,,,,,,,,,,,,,,,1,1
0acf8c26-4011-4b9b-b89b-23d2f161880f,"Women should enjoy the right to freedom, work, education and should have equal rights with death. The international community must work harder to give everyone the right to freedom ",1,1,1,,,,1,,,,1,,,,1,,
0ae6953a-3297-4e39-9995-c2fd4e6f4a06,In a peace and equality between man and woman ,1,,,,,,1,,,,,,,,,,
0b10bbe3-2c75-47c4-aee5-f9e9d756a0b5,It will be very good ,,,,,,,,,,,,,,,,,1
0b4223d4-8fc8-4226-85e5-5dc5e7ec2c4e,It's good that everyone can work ,,,,,,,,,,,,,,,,,1
0b60366c-1f08-424c-8381-6b2aeacb9bc1,It is a good decision that women should get their human rights. It is their right. I support any kind of cooperation with them. ,1,,,,,,,,,,1,,,,,,1
0b75a1cf-3f6c-42e8-a48a-fbc39f026b54,The Taliban do not want to deprive women of their human rights and giving them human rights is impossible because the Taliban have no plans to educate women ,1,,1,,,,,,,,1,,,1,,,
0b79223f-deee-4900-899f-629c6cd058cc,"Sustainable peace, inclusive government and public education without exception and job creation ... ",1,1,1,,,,,,,,1,,1,,,,1
0b8473fa-ea05-453b-bcc1-557a2147fda1,"The right to work, education and life immunity ",1,1,1,,,,,,,,1,,,,,,
0bbe295c-7023-40b2-b790-66c51047bae2,It is a good idea to give women their rights ,,,,,,,,,,,,,,,,,1
0bda678f-2fed-4093-bee5-c614832b88dc,"Women should be able to enjoy their rights, be allowed to work, go to school, have no restrictions on travel. ",1,1,1,,,,,1,,,,,,,,,
0c0eeea2-5b5e-4ec3-b191-c02009458ca1,Human rights have never defended or defended the people of Afghanistan ,,,,,,,,,,,,,,,,,1
0c560d4e-5d25-46ef-8703-36ab164ca50f,It is very useful for women to get human rights but within the framework of Islam. ,,,,,,,,,,,,,,,,1,
0c592566-6943-4ea5-80f1-dcfce9e314a5,It will look great ,,,,,,,,,,,,,,,,,1
0c6c1cf9-9e99-4aa0-8509-4e688a7bd363,They too are the future of Afghanistan and their rights should not be lost ,,,,,,,,,,,,1,,,,,1
0c8bd08d-52a8-44d9-9fcb-967fe0419553,School said and so on ,1,,1,,,,,,,,,,,,,,
0c8dbe2c-3180-45d1-b513-bebe1e366444,The right to submit ,1,,,,,,,,,,1,,,,,,
0c96c0ae-1921-42c8-81e5-1ab6aa925905,"In the current government (Emirate of Talabani), which came to power with the agreement of the United States, human rights and the basic rights of men and women are and will be violated. ",,,,,,,,,,,,,,1,,,1
0ca0dcef-d205-47e9-b040-e6ed954807c5,I support women's rights ,,,,,,,,,,,,,,,,,1
0cbcb19c-89b2-4703-b348-5c8f081ef10c,Is a necessary order ,,,,,,,,,,,,,,,,,1
0cc9a0c5-7644-4eac-929a-af6eca0b7d53,A bright future and a prosperous Afghanistan ,,,,,,,,,,,,1,1,,,,
0cd6dd3d-625c-43da-bba3-9c35a27ae46e,"As long as this extremist Taliban group is in power, there is no future for women ",,,,,,,,,,,,,,1,,,
0cde9e22-a083-430f-97d6-76a5d7ad2844,"The people of Afghanistan, who are at a lower level of education and literacy, consider women less than themselves and ignore what God has set for women. Achieving human rights for women in this period of government is not very easy, and to achieve this, all the people of Afghanistan have joined hands and in a just and compromising way for the government to understand that a society without women is nothing better than a It is not a stable for animals and women complement society. ",1,,,,,,,,,,1,1,,1,,1,1
0ce4d553-ab3c-487a-af10-5d899b1ff5ac,"Whatever rights Islam gives to women, the Taliban should also give them exactly the same rights that women enjoy. I am sure that no organization will oppose them. ",,,,,,,,,,,,,,,,1,
0d39d7c5-accb-495a-bc44-c2ce4a43262e,"First, there must be an inclusive government by popular vote. Second, women must have a share in government. And girls have to go to school. ",1,,1,,1,,,,,,1,,,,,,1
0d43c0a8-8787-4d23-aad6-6aaca3738de4,"It is very important that the advancement of women cannot take place without considering the Afghan culture. All the rights they deserve should be given. They should go to school, pursue higher education and participate in the basic affairs of the country. ",1,1,1,,1,,,,,,1,,,,,,
0d8da406-9c2d-474a-9485-120cff7ded02,Men and women have equal rights. Women's rights must be respected ,1,,,,,,1,,,,,,,,,,
0d9cf9ea-bc80-4455-bd7b-61732248f0f2,If a country in power like the United States or the international community puts pressure on the Taliban ,,,,,,,,,,,,,,,1,,
0da4298f-c6e7-4fd0-967c-fe868174cfe6,"Praise be to Allaah. We have created human beings and we are Muslims. We should not eat from our sisters what Allah has given us. If you are not happy, take it ",,,,,,,,,,,,,,,,1,1
0dc7c93d-278b-4da0-9804-c792374431bc,Re-employment of all female employees and the right to freedom and the right to freedom of expression education ,1,1,1,,,,,,,,1,,,,,,
0de7e238-5295-4f6d-bfec-afb7c0a9e3b5,"Achieving human rights, especially for women, absolutely improves life for men in our country, because the presence of women in society produces love. Love creates healthy competition. Healthy competition leads to more work and progress in the country. The society removes ethnic, linguistic and religious hypocrisy from the society. We saw this action with our own eyes during the previous government, although in the previous government, 10% of democracy and women's rights were guaranteed, and there were many explosions and suicide bombings, but many wishes came true. After the United States left, everything was set to zero",,,,,,,,,,,,1,1,,1,,1
0de9a222-9b40-4cac-ae9d-c82a72ef51cb,The human right of women and especially the right to education is one of the realities if women's rights are not given. The system does not last. And ignorance rules society. The power hungry have the great goal of spreading ignorance and in general ignorance their political and personal interests are protected. ,1,,1,,,,,,,,1,,,1,,,1
0df8d6a5-7f19-4c79-a96d-79434ddf9339,Women in Afghanistan are in a bad situation and want serious help from the United Nations and other international organizations. We want to address the problem of girls' schools as soon as possible and start again. ,1,,1,,,,,,,,,,,,1,,
0e0a5bf3-3ede-4bac-9ed8-e7a7b9896f70,Free ,,,,,,,,,,,,,,,,,1
0e20d6ad-fc07-45c5-8117-7f15a221748b,Destruction of the Taliban ,,,,,,,,,,,,,,1,,,
0e3289a1-fdb0-4a02-9cb9-b80bc73d830a,"The right to education, the right to work, the freedom of the framework of the law ",1,1,1,,,,,,,,1,,,,,,
0e67dd80-a4c2-466c-bd77-4f323de60846,"If women are educated to be doctors, we will be discouraged from going abroad ",1,1,1,,,,,,,,,1,1,,,,1
0e868df9-8f93-4f20-a669-f2734a3faa33,"As long as Islam says to behave with great respect, you can live with the dead in the Islamic society in peace and comfort. ",,,,,,,,,,,,,,,,1,1
0e874ea9-3ff9-465d-b9a0-c5d353b1abfb,"Let women study, study and work ",1,1,1,,,,,,,,,,,,,,
0ea1f72b-c59d-4404-9f0e-e9c6bd7d59f0,Human rights have not paid any attention to the people of Afghanistan ,,,,,,,,,,,,,,1,,,1
0ec45289-8a18-4736-8860-76e94a89d2c7,It will be very difficult ,,,,,,,,,,,,,,,,,1
0f2c0597-67dc-4cf0-87e8-76fe15fe8aff,society consisting of men and women will be progressive and prosperous in all activities and aspects of society ,,,,,,,,,,,,1,,,,,
0f3a1c16-c9cb-4869-a1c3-2b43d035ccca,From within the framework of Islam ,,,,,,,,,,,,,,,,1,
0f4d2455-343a-4f7a-a930-14ccd9f44bdf,It will be good if he finds it ,,,,,,,,,,,,,,,,,1
0f531068-32be-4a72-b2c0-854cb78057ee,Help build trust between the international community and the government in Afghanistan. ,,,,,,,,,,,,,,,1,,
0f7cb917-c5c6-45d0-ac04-4ce0eb09e4c1,Very good women are half of society ,,,,,,,,,,,,,,,,,1
0f8f8790-6df6-45c6-b8b6-64e8c4080d7d,Renan should be given full rights ,,,,,,,,,,,,,,,,,1
0f941207-8fe9-4998-8263-c8bf980d2311,When he lets girls and women study and work. It is really unfortunate for me that I personally took the trouble to get accepted to study engineering at Kabul University. Repress and continue the generation. ,1,1,1,,,,,,,,,,,,,,
0fac6a45-134f-46f0-a39c-7c37abb0447a,Bread-work-freedom ,,,,,,,,,,,,,,,,,1
0fc62560-5f7b-4d2c-9429-7194f4349ace,This is a very important part of our society. They are very innovative. Giving them rights illuminates the future of our children ,,,,,,,,,,,,1,,,,,
0fd98622-58e7-42d8-bf91-e0e1b6bff350,Of the educational part ,1,,1,,,,,,,,,,,,,,
0fe94fec-9144-4f9b-a4b1-f103214e5ad7,"God willing, it will be easy ",,,,,,,,,,,,,,,,,1
1009f482-a509-428c-9196-fd94dcdb3b3f,"In my opinion, the Taliban's access to human rights for women seems very difficult ",,,,,,,,,,,,,,1,,,1
101bb2c3-2c6b-491b-84f5-827cb5a07365,Afghanistan's human life will be better if women's rights are given real ,,,,,,,,,,,,1,1,,,,1
103372f5-9e9a-492b-a4c3-2604ff7cc141,Open schools and give them jobs ,1,1,1,,,,,,,,,,,,,,
105e415b-0b56-4d3e-9863-ebc2e2ea8ee4,"In the present age, when science, research and progress are reaching their peak in the world, no group or government can rule over human society in a dictatorial manner and accept their demands on humanity. Therefore, a ruling group in Afghanistan must meet the demands of society. A world united so that by sharing and receiving the views of the people of an inclusive government without ethnic, religious, sectarian and racial prejudices, a language free of corruption, morality and insecurity can be achieved by providing relations between neighboring countries and the region and society. They have formed a world in order to lead the country from the existing problems to progress and prosperity. ",,,,,,,,,,,,,,,1,,1
1066b0c0-2fe5-4047-93aa-c6e5deebdec4,A healthy and inclusive society will emerge ,,,,,,,,,,,,1,,,,,
10b94be9-fd50-4d8d-af04-15f7f6b5171c,A united hand to be united ,,,,,,,,,,,,,,,,,
10cc68ae-fdfd-4d58-a6ea-2d705dd1e300,I will not continue ,,,,,,,,,,,,,,,,,1
10decbaa-c922-457a-ae19-911ff7b8e851,"The Taliban have hitherto treated women like a sex, working outside the house, going to the park, going outside the house, who had no control over the marriage of women in the blind Taliban neighborhoods, without any idea of a girl swearing by her property. One traded, the Taliban must understand that women are not sex and property like us men are human needs, of course it is far from understanding the Taliban, the Taliban will not change without the pressure of the international community without pressure. ",1,,,,,,,,1,,,,,1,1,,
10f03a79-a1ad-48e2-b6e9-b8eb66d1f6b1,According to Islamic law ,,,,,,,,,,,,,,,,1,
1138f974-1910-4f0e-94b1-15f2397a8f9b,"Zero in this period, but if it changes, we may get better and live a better life ",,,,,,,,,,,,1,,1,,,
114ac43e-eb13-4894-a359-69d1386aff45,Continuation of the lesson and all respect and human rights one. Man ,,,,,,,,,,,,,,,,,1
114cb7f0-c74b-4dad-a1b0-0b968d585cce,It is good for my country ,,,,,,,,,,,,1,,,,,1
115cefca-1e26-432b-acb1-1a3b3e7aa0a4,Will improve ,,,,,,,,,,,,,,,,,1
11bbfeba-0593-4039-b23b-7d9a8e57fc87,"First we have to go to school in hijab, second we have to give women their right in Islamic Sharia. ",1,,,,,,,,,,,,,,,,
123c7863-6806-4d17-9657-5994726c6b55,What the Qur'an says about women must be done. There is no need for human rights. We are an Islamic country. ,,,,,,,,,,,,,,,,1,
12765522-b9bd-433a-9b05-245b72a2e8dc,Very very excellent ,,,,,,,,,,,,,,,,,1
129dc40c-441b-4c0d-b34f-baaad5bd3218,It will be better ,,,,,,,,,,,,,,,,,1
12ae9a9f-e828-4f76-a4d6-8d39c9ed5b7b,Women should be able to study freely and still be able to have a colorful presence in the workplace of government offices at lower and upper levels. ,1,1,1,,1,,,,,,,,,,,,
12df518d-8a6c-4e03-9211-7b798d661ac5,The Taliban's policy on women's rights and presence has not changed at all. All their activities and work on women are a show for the international community to be recognized. ,,,,,,,,,,,,,,1,1,,
12ebd5ef-b3b2-47e4-a53c-4feedc910010,Women's rights in the form of light property ,1,,,,,,,,,,1,,,,,,
13209c02-1a22-406d-a09f-54e4db6deba2,The loss is bad ,,,,,,,,,,,,,,,,,1
1373a44d-46d3-4c6c-8fba-a9895a02287c,Achieving human rights is not very good for women and they live in a critical situation ,,,,,,,,,,,,,,,,,1
13820a8b-db6d-4efd-ada1-a3be2ec009dc,"The Taliban must pay attention to women and women's rights in Afghan society, not deprive women of the right to work and study, and strive to provide education and work for Afghan women within the framework of Islam. ",1,1,1,,,,,,,,,,,,,1,1
138e2e5c-8437-4d27-86e1-1fa391da131f,It must be in accordance with the Sharia and the Charter of Human Rights to all its freedoms in accordance with the culture and customs of the country ,,,,,,,,,,,,,,,,1,
13ead557-4597-443b-a75e-e566dad0514a,"We have a need for human rights for our women by the world community and we do not have our women to have equal rights, but the world community has intervened and upset the balance ",,,,,,,,,,,,,,,,,1
14123a07-058c-4fae-9446-0fd3a7530fb0,Hunters play an important role in the development of my country ,,,,,,,,,,,,,,,,,
1493bb3f-538a-43a4-b749-de93bd84c5d1,The right to education The right to work The right to free decisions ,1,1,1,,,,,,,,1,,,,,,
14b68d32-8e0d-4471-8ad6-a9aca1f31620,"A woman is a human being and has the same rights as a man, the framework of which has been defined. Let go and remove women who are opportunistic and slander good women ",1,,,,,,1,,,,1,,,,,,1
14c9d4b4-771f-4596-a370-4caecf207e2c,I do not know ,,,,,,,,,,,,,,,,,1
14d4c98d-dd95-42da-bb46-36115c1b38be,Women are half of society and should have full access to their rights ,1,,,,,,1,,,,1,,,,,,1
14ec0ea3-93d6-427e-825e-debb6878e9cd,"balanced government in which women have a share, respect for their rights, a comprehensive balance between the implementation of successful work programs in all rural capacity building projects ",1,1,,,1,,,,,,1,,1,,,,1
14f4557d-a282-4890-8554-792a5130a105,The rights that God has given to women are guaranteed. Confidentiality is not possible. ,,,,,,,,,,,,,,,,1,
15088f39-a514-4b79-a223-1020a640d69b,It's better ,,,,,,,,,,,,,,,,,1
15229a1c-b590-4f14-986b-5849ed6aa3c4,Urgent UN action through political and even military pressure ,,,,,,,,,,,,,,,1,,
154366da-e41d-4a47-9fd0-ea7eea19f63c,"Women should also have a share in all government offices. Women were not born just because of housewives. They should study and progress. Women are the pillar of a family, society and country. ",1,1,1,,1,,,,,,,1,,,,,
156cada2-ed40-4cf5-8d42-4e8c2343e487,"Appropriate, opportunities for women and participation in the public and private sectors is a wise decision. ",1,1,,,1,,,,,,1,,,,,,1
1593737b-feb9-4e85-a629-d774c5788bc8,The rights that Islam has set for women must be upheld ,,,,,,,,,,,,,,,,1,
15b8711b-8fc0-4341-b530-afd1ff19074b,The acceptance of the Taliban by the international community Provides humanitarian assistance Creating a comprehensive system for all walks of life ,,,,,,,,,,,,,,,1,,1
15d346e6-72c7-4d97-9515-498dcad1ad46,Non-recognition of the Taliban government ,,,,,,,,,,,,,,1,1,,
1612760d-f422-4c34-a6b3-d260b9f0a646,A complete society with no shortage ,,,,,,,,,,,,1,1,,,,1
