UUID,context,answer_order,Eldest_Counterbalance,Q-Order_NatPrior_vs._WhichWomRights,W3_Reserve_Treat,weight,age,age_group,gender,q00a_select_language,q01_eldest_child,q02_your_situation,q03_food_security,q04_afghan_reserves,q05_unfreeze_reserves,q05V2_frozen_reserves,q06_support_gov,q07b_taliban_gov_view,q07c_closer_view,q08_safety,q09_human_rights_women,q11_top_three_rights_right_to_education,q11_top_three_rights_right_to_choose_husband,q11_top_three_rights_right_to_divorce_or_0t_marry,q11_top_three_rights_free_in_public_0_harassment,q11_top_three_rights_freedom_to_choose_how_to_dress,q11_top_three_rights_right_to_work_and_earn_money,q11_top_three_rights_right_to_travel_without_escort,q11_top_three_rights_right_to_participate_in_gov,q11_top_three_rights_freedom_to_use_the_internet,q11_top_three_rights_access_healthcare_and_services,q11_top_three_rights_right_0t_be_beaten_by_family,q11_top_three_rights_something_else,q11_top_three_rights_0ne_of_these_are_important,q11V2_top_three_rights_right_to_education,q11V2_top_three_rights_right_to_choose_husband,q11V2_top_three_rights_right_to_divorce_or_0t_marry,q11V2_top_three_rights_free_in_public_0_harassment,q11V2_top_three_rights_freedom_to_choose_how_to_dress,q11V2_top_three_rights_right_to_work_and_earn_money,q11V2_top_three_rights_right_to_travel_without_escort,q11V2_top_three_rights_right_to_participate_in_gov,q11V2_top_three_rights_freedom_to_use_the_internet,q11V2_top_three_rights_access_healthcare_and_services,q11V2_top_three_rights_right_0t_be_beaten_by_family,q11V2_top_three_rights_right_to_seek_asylum,q11V2_top_three_rights_something_else,q11V2_top_three_rights_0ne_of_these_are_important_to_me,q11a_which_rights_open_end_translated,q12_14_agree_avoid_armed_conflict,q12_14_agree_human_rights_violation,q12_14_agree_basic_needs,q15_intl_support_gov,q16_intl_support_taliban,q17_your_views_support_a_peace_process,q17_your_views_use_military_force,q17_your_views_provide_military_support,q17_your_views_help_the_taliban_fight_isisk,q17_your_views_un_peacekeepers_maintain_peace,q17_your_views_afghan_need_international_help,q18_live,q19_financial_situation,q20_education,q21_province,q22_religion_importance,q23_marital_status,urban_rural
00379d07-00f3-4af8-ae74-2bec7ed3ec80,2,2,1,2,,0.969846153,19,18_24,2,2,1,5,5,1,3,,5,,,4,5,1,1,1,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,5,5,5,,,,,,,,,,,,,,,
0037bcd6-fa86-4a2a-8313-a6c89c384b16,4,1,2,,2,0.740032143,25,25_34,1,1,,1,1,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00396327-6325-451e-af36-b28b4c60cbef,4,2,2,,,0.740032143,28,25_34,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003a2fdb-a416-493b-b7ae-6169479f9192,2,2,1,,,2.170310229,35,35_44,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003bdbfd-2bbf-43fb-9030-f2322babbeb1,2,2,1,,,1.56868459,32,25_34,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003c27cb-7f22-41d5-a2ec-386840898145,2,2,1,,,1.697539394,98,65_and_over,2,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003c886a-b966-4ce6-b7c1-bc9141ea4e5b,4,2,1,,,1.56868459,33,25_34,2,2,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0040492d-b156-4c07-892a-4244cf216647,4,2,1,,1,0.969846153,21,18_24,2,1,3,5,5,1,3,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00407054-4d9d-49c7-aa82-a14a303544ce,4,1,2,1,1,1.724398601,48,45_54,1,2,,3,1,1,2,,3,3,,3,4,,,,,,,,,,,,,,1,1,0,1,0,1,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,
0040d4ea-831b-422c-a611-5dc34986b249,3,1,2,2,,0.969846153,23,18_24,2,2,,4,1,2,3,,1,4,1,3,1,,,,,,,,,,,,,,1,1,1,0,0,0,1,1,1,0,0,1,0,0,,2,4,1,,,,,,,,,,,,,,,
0041b7bc-b346-4db3-9b83-f83145c6173c,2,2,2,,,0.800819823,98,65_and_over,1,1,,4,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0043de7f-e3fe-4ae9-9285-8ff6926949ef,3,1,2,,,1.663463131,62,55_64,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0048bcab-345b-4bea-9026-ae0c9c37a3a4,4,2,2,,2,1.56868459,30,25_34,2,2,,5,5,2,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004a2019-37a0-4553-8160-4db418969992,4,1,1,,2,0.740032143,27,25_34,1,1,1,1,1,2,,1,1,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004d36a5-9f0b-404a-944b-1a0e3e9b8213,2,1,2,2,,0.969846153,18,18_24,2,2,,5,2,2,2,,3,5,,3,5,1,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,3,4,4,3,,,,,,,,,,,,,,
004ddd3d-fa23-40cb-aa20-5c3fac67affa,3,2,1,,,1.023851028,44,35_44,1,1,1,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
005cc9c3-73f3-4309-87ec-f8c7d07bd661,4,1,2,,2,0.800819823,98,65_and_over,1,2,,3,2,2,,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00600364-ddad-4d23-8d46-e7cf21ceff76,3,2,2,,,0.740032143,33,25_34,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0060b307-a632-4dff-b654-8c626d7fe0b0,3,1,2,1,,0.45752813,24,18_24,1,2,,1,1,2,2,,1,2,,3,4,,,,,,,,,,,,,,1,1,0,0,0,0,1,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,
00620cba-24cb-45bd-9237-90c09eafd62b,4,2,2,,2,0.45752813,18,18_24,1,2,,3,1,1,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006651f2-ecd3-4a4c-aaf1-bad539780c97,4,2,1,1,2,0.969846153,18,18_24,2,1,3,5,2,2,,2,4,,,2,4,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,
00672386-d6ef-4904-93ad-dcad1e175ad7,3,1,2,,,1.56868459,25,25_34,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006a53af-b3f2-4018-95d3-ae841b39a040,3,2,2,,,1.724398601,45,45_54,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006b02d3-2887-4b20-a30b-3d6f61cbbfe5,4,1,,,,0.740032143,25,25_34,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006bdbd1-cc5d-406d-a27c-a1ebd068b2d4,4,1,1,,,0.740032143,33,25_34,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006d51e1-eb46-4a6b-907d-b9dae9783813,3,2,2,,,0.969846153,18,18_24,2,2,,5,5,1,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0073a5a2-ae78-43ae-a1bf-213b1e7448c8,3,2,1,,,0.740032143,25,25_34,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0074c283-620f-469a-a7e6-ed2e01dd1528,3,1,1,,,0.45752813,20,18_24,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
007837ca-55df-4dbd-a7ec-de8ea98a3868,2,1,1,,,1.56868459,29,25_34,2,2,3,2,4,2,3,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0078d2b1-2c25-4835-900c-6b08702c3281,4,2,1,1,2,0.45752813,18,18_24,1,2,3,3,1,2,,2,1,5,,3,5,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
007c1956-ff0f-417c-8987-1317525bcd50,3,2,2,,,0.740032143,28,25_34,1,2,,5,1,1,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00823396-c745-4e12-bec8-fd41f22d97de,3,1,1,,,0.969846153,22,18_24,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0083f50d-dfc4-4395-ae19-33078ed96875,2,2,2,,,0.969846153,18,18_24,2,2,,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00849a5d-b7d4-4229-8992-bb329904f14f,4,1,1,,2,0.45752813,21,18_24,1,2,2,1,1,1,,2,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0087cb33-2a65-4fe2-a07a-4483f5326413,4,1,2,,,0.45752813,18,18_24,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008a3b7f-abde-4b51-a5ef-240723831cb6,4,2,2,,,0.969846153,18,18_24,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008a5d58-8dbc-43c2-8a52-53f64681850f,4,2,2,,,0.969846153,18,18_24,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008adad7-88c2-45e5-9539-b5590683eb27,3,1,2,,,0.45752813,22,18_24,1,1,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008bd655-dc99-4c17-9868-81a52a886c6e,3,2,2,,,0.45752813,20,18_24,1,1,,4,5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0095d02e-39e1-401f-91a6-914a64a46e0b,3,1,1,1,,0.45752813,23,18_24,1,1,3,1,2,1,1,,3,3,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0096ce0d-e7c5-445e-8223-1f1028a3e7d4,3,2,1,,,0.45752813,18,18_24,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009781e7-f2fd-4369-a238-5467e8ee0b95,4,2,1,2,1,0.740032143,30,25_34,1,2,2,3,3,1,2,,5,,,3,4,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,1,0,0,0,0,,4,5,5,3,3,0,0,0,0,0,0,1,3,4,6,4,2,1
009cd4a6-7f46-4da7-ba9b-c4d35d07c3c4,3,2,2,,,0.45752813,20,18_24,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009d9ad1-b020-43f0-9add-90ac60304f99,2,2,1,,,1.697539394,98,65_and_over,2,2,3,5,5,1,3,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00a087c1-dc60-49c8-ad8d-5b7e3239d528,4,1,1,2,1,1.023851028,39,35_44,1,1,1,5,3,1,2,,3,2,,1,2,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,4,1,4,,,,,,,,,,,,,,,
00a2af55-8785-45d2-9657-a8b40ec81296,2,2,2,1,,0.969846153,18,18_24,2,2,,5,1,2,4,,3,5,,2,3,0,0,0,0,0,1,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,4,4,4,,,,,,,,,,,,,,,
00a4c9ce-115d-4cc0-9d2d-ee3c54fe13cf,3,2,1,2,,1.56868459,32,25_34,2,2,2,1,5,2,3,,3,3,,3,5,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,4,5,4,,,,,,,,,,,,,,,
00a86aea-efd7-4713-aee7-b22d15f64d0a,3,2,2,,,1.56868459,26,25_34,2,2,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00aba67f-fe3c-4fcf-853d-d6170ad50a01,4,1,1,,,0.45752813,22,18_24,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ae3431-9979-4c2f-b7cd-4e65dd23215d,2,2,2,,,1.023851028,38,35_44,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00b1f1a9-cb56-4b57-af88-1272f2216c04,4,1,2,,2,0.45752813,20,18_24,1,1,,1,1,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ba002d-e83d-4a2f-8fd9-5432a0b86ae1,4,1,2,,2,0.45752813,18,18_24,1,2,,3,2,1,,3,3,3,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00bb9db4-3b84-4e39-9967-d3c1d2256299,4,1,1,,,0.969846153,20,18_24,2,2,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00bc0756-2f70-407c-858b-4d8a7374c380,4,1,2,,,0.969846153,23,18_24,2,2,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00bf9e29-60ee-4b42-9381-bd204bb316c1,4,1,2,,,1.023851028,43,35_44,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00c0bd6e-a464-436c-a67f-54b2d05e78df,2,2,1,,,0.740032143,32,25_34,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00c3116f-57cd-4db9-8333-559ad1831d78,4,2,1,2,2,1.023851028,37,35_44,1,1,2,5,5,1,,3,1,3,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,,,,,,,,,,,,,,,
00c3b932-31f9-40b4-bff3-d5a259da30e5,2,2,1,,,0.740032143,28,25_34,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00c6529b-f892-45cf-9809-578ef7e337e5,4,1,2,,,0.740032143,34,25_34,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00c7c21d-8a3e-4e65-94c0-02e78c3e0332,3,2,1,,,1.663463131,64,55_64,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00cb2741-18c3-4635-95a3-e2a107d496df,2,2,2,1,,0.740032143,28,25_34,1,2,,3,2,2,2,,1,2,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00cbf5f2-d30d-4428-b8fe-b14e8fc7ed74,3,1,2,1,,1.023851028,41,35_44,1,2,,1,4,2,1,,5,,,1,1,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5,,,,,,,,,,,,,,,,
00cca88b-34f3-4a03-958a-a22e6d19d97a,4,2,2,,,1.56868459,32,25_34,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00cd8be0-80a4-4319-bdc6-9463f10c0e97,4,2,1,,,0.740032143,33,25_34,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00cf1e0c-b4d3-4fd3-b4b1-aa08d915b58a,3,1,1,1,,1.56868459,28,25_34,2,2,3,1,1,2,4,,1,4,2,3,5,,,,,,,,,,,,,,1,0,0,1,0,0,1,0,0,0,0,0,0,0,,5,5,4,3,3,0,1,0,0,0,0,1,3,6,22,4,1,1
00cf7081-cfdb-4a51-95e6-d9b09726516e,4,2,2,,2,0.969846153,18,18_24,2,1,,5,5,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00d2113a-b76a-4594-aaec-57583eb1a13b,3,1,2,1,,1.023851028,35,35_44,1,2,,1,1,1,2,,2,1,,4,2,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
00d2c3c2-a118-4648-8ccd-3a84f36a6128,3,2,1,,,0.45752813,18,18_24,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00d3f7e3-6b64-47d4-bea1-5aaab06e209a,4,2,2,2,2,0.969846153,19,18_24,2,2,,3,3,1,,1,2,3,,1,3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,3,2,3,,,,,,,,,,,,,,,
00d3f919-c28e-4fd8-b645-a16a76879f40,4,1,2,,,2.170310229,36,35_44,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00d7a0b7-a613-45f2-884c-af0e376d8229,3,2,2,,,1.56868459,29,25_34,2,2,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00e13c5c-2ec0-46da-99a6-de5179ae8b43,3,2,2,2,,0.740032143,32,25_34,1,2,2,4,5,1,3,,3,2,,2,5,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,5,5,5,3,1,0,0,0,0,0,0,3,7,6,12,4,2,1
00e18cf7-afdb-403d-b5fe-c882477f06a6,4,1,1,,1,0.45752813,21,18_24,1,2,3,1,1,1,2,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00e1ab3e-268b-4c14-91e8-328d96b0c4e1,4,1,1,,1,0.969846153,21,18_24,2,1,1,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00e45495-5efb-4113-b65d-6397a43207c3,3,2,2,,,0.45752813,20,18_24,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00e528dd-0d41-41b3-a1f0-eceb6755a30f,2,2,1,1,,0.45752813,20,18_24,1,1,3,1,1,2,2,,4,,,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00e9ecf6-13a5-4bf5-b522-791a2020ac34,2,1,1,2,,1.663463131,60,55_64,1,2,1,3,1,1,3,,1,3,,2,5,1,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,4,4,2,2,1,1,1,1,1,1,1,3,4,4,18,4,2,1
