UUID,11a_OpenEnds,11a_A,11a_B,11a_C,11a_D,11a_E,11a_F,11a_G,11a_H,11a_I,11a_J,11a_K,11a_L,11a_M,11a_N,11a_O,11a_P,11a_Q,11a_R,11a_S,11a_T,11a_U,11a_V,11a_W,11a_X,11a_Y,11a_Z,11a_AA,11a_AB,11a_AC
28905949-1db3-4dd8-9845-06755fd5751b,Education and training ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
29a3771d-e682-4b9d-8c83-ed53deae3682,"The right to education, the right to choose a husband, participation in the government, not to be bothered by the family, the right to business and income ",,1,,,1,1,,,,1,,1,,,,,,,,,,,,,,,,,
2a31acf4-dfd2-48ce-a716-73ef29a21894,"The right to education, the right to choose a husband ",,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2bf80054-49c8-40a7-9c0a-ea2f4f2b11dd,learn ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2c98620e-5239-4bf4-a9e3-e1060bcc3264,The right to go to school and choose their career ,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
2ceee2f6-e8e9-49eb-8573-976b4f69178c,the freedom ,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
2d475854-29cc-49e2-bee5-16e7b6e29d3e,The right to education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2d8efb76-aa22-4a08-ba3a-01ca1a53cf13,It is a big and unforgivable mistake to make women as tools or tools to keep them behind closed doors. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2d954ff9-e5a9-4007-98bd-4e0f72ea5877,right to education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2e78b62c-4a7c-4f57-8864-e219efb88e2f,nothing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2f535e8c-2aef-4bef-b384-6fff2c93de18,"Freedom of work, education ",,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
3063d0a9-46a1-4bcd-bfb6-ac423044d7a8,right to education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
3694ea8d-af57-4497-966b-c0f320b8e731,The right to education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
36bb04ea-1582-46c5-8627-a727f8eadb02,education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
371fe6a8-c1ea-42ed-b53f-27124394b42e,"Full use of their rights, such as education and working ",,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
38ebfec9-aa6e-409c-b770-b5fa83c713ac,right to education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
395f138d-8b43-4944-9203-6e22cb3c9cb9,"Freedom from all angles, no one should be attached to anything ",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b9506f6-4e9a-42c1-ad30-4cbd2d830ae8,His studies and education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
3c4aba86-936d-41d0-b4b6-cea4ae1fdb23,"In the first step, the right to study, to work, to participate in the government, the right to travel without harassment, to travel alone ",,,,,1,,,,1,1,,1,1,,,,,,,,,,,,,,,,
3d2287f5-2e9f-4905-a5a5-a08607b8bf93,Freedom of education for women ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
3d2beb8c-d070-4300-91c3-b96aa3c845c3,"The right to education, the right to participate in government ",,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,
3de59636-ad82-4967-878c-ba3088eb05f7,Islamic teachings ,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
3f6ec10e-8bf0-49e1-9e57-6550a7618f33,right to education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
40451f08-df5b-4608-8cd9-1e1ce4b9c23e,observe hijab ,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
41c10210-f2af-4466-9ac5-20b240c2ceec,learning ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
42db1f8f-8c7a-4f61-9fa2-d344201b42f8,"The right to education for women, the right to work within the Islamic framework, the right to choose a husband ",,1,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,
44c8a5d5-06c4-4aa4-9f58-51c6ebee021a,Human rights issues ,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
45341bc9-a8e9-4bc7-bfdb-49389f9dcf85,right to education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
463386dd-93d6-46cc-bec4-896ce6277cd2,"In another country, the right to ask for a husband, the right to choose a husband, the right to divorce or not to marry ",,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
464e7299-c0a2-4e46-a82a-9ad81d8bd7cd,"The right to education, the right to business and income, the right to participate in government, the right to choose a husband, the right to access health services ",,1,,,1,,1,,,1,,1,,,,,,,,,,,,,,,,,
4665dd78-4d19-49d2-a7a2-44294995447a,Their rights should be given ,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
46cbfe5e-7bb1-4c08-aa25-1a2b96fe9ea2,"The right to education, the right to work in all fields, to choose a spouse according to one's own satisfaction, and to observe hijab ",,1,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,
4775733b-d3b0-4c1f-9e27-9f8c1dead535,Right to education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
484fc24c-1fc5-4be4-927a-cea7e6138647,The right to study and work ,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
4872c744-1d41-4046-a8b4-59773513fc62,All the things mentioned in this questionnaire are important for women ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4918538c-4b1c-4579-94c8-2467a3299573,Women's Rights ,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
498b2f0a-f17f-4cab-bffe-692673141f2b,The right to study and work ,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
4be1b5ee-4d2e-4e9d-8e6e-939091bf2cb2,Marrying a husband of one's choice gives the right to inherit ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
4bf2246b-3364-4442-b49b-a67779b4a2e4,education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
4c3409f4-d600-4129-8a61-070348454ac6,"Are all questions unanswerable? All women should be educated, have a job, not be bothered, roam freely in their clothes, and no one has a job. ",,,,1,1,,,,1,,,1,1,,,,,,,,,,,,,,,,
4df0528e-f6e5-45bb-9601-531b9b3f86e2,right to education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
4fb0c5ec-da3f-427a-ad8f-22807e103f34,All is important ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4fc8f293-9d7a-4c35-a386-2ac7f7a1809d,Women's education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
50102893-1bfc-4319-9f97-379775bf41d5,The right to a peaceful life ,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,
501fdb39-82e2-4fae-b3a0-7a5b04d34cfd,the freedom ,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
504edc8f-dfa6-4786-820f-ca9ef1b9ce8d,"Education, working in all departments, even in the system, should be free to work without knowing which religious and government intervention, zero, clothes, and all the cases that were mentioned before. ",1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
50e3ae57-5042-4588-a393-f2a021963eff,right to education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
5132ba95-ba32-494c-a9e5-2addb2ce1c67,freedom education ,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,
5185a394-d0be-4c5e-9883-43fb210121c7,Women should be educated ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
519f2c2c-984e-4408-ae48-eb5c281b2f5d,Basic legality is important ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
526439b7-7aa5-4bff-83ff-6bec1d127e9e,Unrestricted freedom ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52e7ecaf-3a12-451b-a23e-52154ddc7356,The right to education and political participation ,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,
573758a4-7972-4b25-b65d-a2a0c166a492,education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
581db205-5173-4641-8da9-d155342d9238,right to education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
5966c9bb-90b6-4176-b7f9-6e56d97660e7,The framework of the religion of Islam ,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
599bd470-273f-4dc4-a399-247c87ce6e92,"The right to education, the right to work and own property, the right to immunity from harassment, the right to choose a husband, the right to travel and determine the place to live. ",,1,,,1,,,,1,,,1,1,,,,,,,,,1,,,,,,1,
5a4d977a-a24e-4b6f-850e-e851f2b11d22,All ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5babcc10-e91e-4f07-acf6-18f4e6293974,The right to education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
5c878d24-6f94-4cf2-9df8-06aaeff43b42,right to education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
5cf9dd35-32cd-44bc-a76b-85b0e4f4b5a8,freedom of speech ,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
5d7f40a6-4818-4752-8967-6a0e8d8dd722,More right to education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
5f9c8ed7-920b-495b-a5c0-b6ca945a4d37,"The right to education, political participation, the right to work ",,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,
603f7d1f-84be-453a-bed8-fd1c90c2e2c1,The right to participate in the government ,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
6090c38f-3718-4714-8c0e-76c521eea8f3,The right to free education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
60edf89f-10fe-4b43-b55f-0b316a50f274,none ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62dcc0ab-3750-401c-a98d-9d38b679893b,freedom to live ,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,
6425c39e-9846-493b-a098-6a5ebae3f09f,right to education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
64a071fa-7e38-413d-bdaf-5fdfa1f433c1,All ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68208b36-aebe-4854-adcf-07ca1b2a6124,"The right to education, the right to choose how to dress, the right to health ",,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,
687b6693-1bd6-4199-9252-763ad44b5962,"Freedom, education, work, power, travel, ",,,,,1,,,,,,,1,1,,1,,,,,1,,,,,,,,,
6abf20d8-238b-4d78-8a79-03c0bb767515,Education freedom and work ,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,
6c9820e2-32bf-409b-8d34-f45a12a8a1ef,right to work ,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
6d00ab6a-48a0-4eee-9885-e125b356b1b5,The right to continue education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
6d4843c5-a7b1-44d6-b03e-1ca9f2a782b4,"Their rights should be considered, yes, their rights are important to us ",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
6d5b70dd-2670-4783-ae8f-32fce0539c5f,Equal citizenship rights with men ,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
6f34d892-fa1e-450c-893f-00befd52725b,learning ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
6f4d700a-d4fa-4e5c-b61d-e53bee646b0d,right to education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
6f57af15-dcef-4b66-a17c-93290fed2a33,"The right to choose a husband, the right to participate in the government, ",,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,
7040b5b9-1467-4f41-bc87-ce5c600060f4,Work training and all-round participation ,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
7045122f-7f5e-46be-9765-ac69033e00c1,"Every citizen has the right to freedom of speech. Human rights are more important. Yes, we are. Yes ",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
70adfb98-5018-45d6-8a33-77b821ebd487,The right to study and earn in fashion ,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
7134ab8c-ea03-43e4-b035-bcc13a9f3450,education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
74b797ef-ab8c-440c-946c-f6f11ed33ba1,Education and the right to work ,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
7518c0f4-51c1-4f18-b624-87add0b76017,right to obtain ,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
7711be6c-6e17-4934-88bd-52f899cf06e3,Freedom ,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
77dc69b3-87f6-4f9b-9cbb-1873a27c2786,the right to freedom ,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
7a82d916-c91e-4394-b1be-abde84ec1075,Compulsory coverage should be controlled ,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
7de8bab6-705a-47d8-a40e-ae5ec82db518,"Afghan women should have a share in the government, Afghan girls should be educated and should have all the rights ",1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,
7f362466-86d5-46bc-9fd8-1ddaff092797,Education and the right to marry ,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
806ab6b2-1c9a-4d5d-9e70-27e04262f932,Right to education and work ,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
8091c92f-bb2b-4c91-a34c-affe1d247db6,The most important thing is for a woman. The most important thing is that women should be given the rights that they are entitled to. ,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
80bbf9ef-24f2-4c7c-9607-4e6b35602710,A woman should do whatever she wants because she has the right to decide for herself whether it is good or bad ,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
84b31e5f-4e87-455c-aeb4-c29c38046002,"In my opinion, the right to travel unaccompanied and women's need for education, women's participation in the system, and also the right to education are the most important rights that should be given to women. ",,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,
84df77c5-d79d-464b-b81f-79e1d0c3be32,"Women should be free, they should have the right to work, they should have the right to study, they should have the right to marry, they should have the right to dress, they should have the right to freedom of speech, women should have equal rights, and men should have equal rights. ",,1,1,1,1,,,,,,,1,,1,1,,,,,,,,,,,,,,
85319dc7-e7d6-4d6b-8572-7b1bff10e50d,right to education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
85d87af8-a5f1-4b67-a680-b2c128b92aeb,right to education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
8671f4e7-34a6-4592-bee7-3200a8caf573,"A woman is very valuable for Zamuns, a man is like a king, she is indestructible, as much as a man has rights, a woman also has rights. ",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
86d04dcc-ffcc-4261-9285-a6627f1cc053,Free life is education rights ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
87c09996-8c30-4f39-ab29-b825f7ac8a57,"Continuing education to a reasonable extent, including in politics and considering social activities ",,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,
889ea2ae-c47d-42c4-a827-07a7c9398244,No human rights in Afghanistan are working for the benefit of the Afghan people ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8d1e930a-b45b-494e-89ad-52c4391860d6,cover the face ,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
8d7093f7-8dd8-4b40-b457-07beebd7bece,The right to participate in government ,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
8f31b9cc-b72a-4367-bb1e-11fa4c4eed4b,Respect for women ,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
8f94ca22-57d9-4880-bdb9-19548819f900,The freedom to choose a husband and participate in all the affairs of a country ,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,
8fc24b0f-aa00-4f84-bd08-c7caa44db034,"Education, the rights of others according to the principles of Islamic Sharia ",,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
904c71c8-dfa9-4d50-90c7-d8d160834998,Studying and working in the current government ,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,
914fee1f-45bd-43d7-8d74-54ab0a91c9fc,right to education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
9219cd1e-45b5-4748-9667-6e685330362a,Learned especially schools ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
933a9a75-47ad-48af-b5ce-7081788299b6,Continuing education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
93af01d0-f6f8-418d-8267-31bc11207efe,The women went to work school ,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
9747bbc9-ad0d-411f-8032-751a9af80408,The right to education for women is more important than anything else ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
978405c5-b0f9-4173-8291-29a4bf07f8a9,right to education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
98308fe6-fe1c-487f-8d93-c8f0027d5f9b,education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
9945e6b9-3f8c-47b0-9b66-a0466cc07873,right to education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
9b5f6e74-a2a5-4e76-ab29-7946be8dfe9b,"The right to education, work, freedom of speech and voting ",,,,,1,,,,,1,,1,,,1,,,,,,,,,,,,,,
9b7a422c-0317-4914-8e7d-a6425d00fc97,"The right to education is a priority, participation in the government is the right to earn income ",,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,
9c546b09-729f-4304-9a1f-c5258f71de42,study ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
9c8ea464-4cdf-474b-8b3d-fc3886c0ce19,The work of studying freedom and marriage ,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
9e7cc0c4-1abe-4e59-97c6-67929bacab54,"The right to education, the right to work in the government, the right to choose a husband ",,1,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,
9f57475a-c2f0-4fdb-bc1b-bb37b4575362,work ,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
a01eebd1-cdd6-42ff-a199-97582904fb43,We need the women's hut to have education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
a10fe5eb-c045-45c2-9389-1013e58665a5,Reading and effective teaching ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
a25c251d-b465-440d-80e5-13c2eae7ce57,education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
a2cf98fc-6690-4604-962d-3869af7d4727,The right to education and the right to income and the right to choose how we cover ourselves ,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,
a30696f6-859f-410e-8ad7-ad54b81b933b,right to education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
a3619d8b-dd5d-49f0-8cdc-83cc0bbc6ca7,Study and work ,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
a39dbf3b-580f-4ed2-a022-cdd57f03763a,"The right to walk without Muharram, to allow the girl to return six, to be allowed to be alone at night if she is not a girl, religious groups should not stop her. ",,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,
a4f15193-da1e-45c8-bee7-a1fb9719caf0,right to education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
a576f087-843e-4d2e-bf35-258d84d49fa9,It is her duty to choose her husband of her own free will ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5eb188b-0794-40b9-9972-82f47a4b84cd,"In my opinion, all the rights given by Shariat are important for women and our Afghan sister should enjoy all those rights. ",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
a61f9702-6ac6-4cfd-a767-beaa0e1fed19,none ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a63b43c9-e4b0-4dd0-99be-7a09402a43c4,"It should be seen from the point of view of a human being, not through the eyes of religions, races, genders, languages, and his rights should not be violated ",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
a8a50c92-3eaf-4698-bef2-b15900b6e4e3,"The right to study, work and freedom of movement in public ",,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,
a985bab0-3c61-4d8b-8e8b-4fbc2532be08,Right to education and employment ,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
a995fa6f-c2f4-42ff-a76b-530c0d9a8c11,learn ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
ab92ac7c-7074-4356-a974-12060d35a425,Education and hijab in every institution ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
abca53a1-c1f6-4837-afd7-bc676e440215,Education and employment ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
ac01a0ef-431f-4c2a-a844-d17bf1e60b2d,Absolute freedom ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acf117fe-53dc-4107-896b-bea1fca12e89,"In my opinion, a woman should choose how to live and when, only the government should give all women the right to education, and when a girl is aware of everything, she will not do bad things anymore. ",,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,
ad746026-84e4-4c85-a38d-d31b65727dc7,The right to participate in government ,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
aee0d010-ca16-49a7-941a-4a4ee9f3405a,"agree with all the rights that have been given to women in the world, and women have the same rights as men to work, study, travel, etc. ",1,,,,1,,,,,,,1,1,1,,,,,,,,,,,,,,,
